"file","line","level","heading","file_type","placement_verdict","placement_rationale","order_verdict","order_rationale","cluster_id","canonical_target","axis_verdict","dedup_action","nuance_items_retained","nuance_loss_risk","nuance_retention_status"
"AGENTS.md","17","1","Agents: Start Here","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","19","2","Quick Path (Read This First)","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","33","2","Authority Quick Reference","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","49","3","Authority Detail","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","65","3","Path-Based Authority Guard (Pre-Write)","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","80","2","Agent Decision Tree","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","105","2","First-Turn Guardrails","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","118","2","Red Flags Requiring Workbook","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","137","2","Self-Check Before Acting","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","148","2","Approval Scope Rule","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","156","2","Pre-Authorized Actions","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","174","2","Commit/Push Gate","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","185","2","Request Clarification Gate","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","199","2","Mode Detection","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","224","2","Level 0–2 Early Exit","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","244","2","Axes At A Glance","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","254","3","Organizing Axes","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","268","3","ai_ops Standard Artifact Inventory","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","310","3","Quality Axes","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","321","3","Level 3+ Work","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","327","2","Bootstrap Sequence (Full)","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","331","3","Minimum Viable Bootstrap (Role-Based)","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","346","3","Step 1: Read Entry Points","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","355","3","Step 2: Apply Authority Rules","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","363","3","Step 3: Follow Required Reading (Level 3+ Only)","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"AGENTS.md","369","3","Step 4: Bootstrap Verification (Level 3+ Only)","root_doc","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
