"file","line","level","heading","file_type","placement_verdict","placement_rationale","order_verdict","order_rationale","cluster_id","canonical_target","axis_verdict","dedup_action","nuance_items_retained","nuance_loss_risk","nuance_retention_status"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/README.md","12","1","Workbundle: OSS Documentation and Visual Communication","workbundle_readme","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/README.md","14","2","Purpose","workbundle_readme","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/README.md","20","2","Placement Decision","workbundle_readme","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/README.md","30","2","Workbooks","workbundle_readme","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/README.md","42","2","Sequence","workbundle_readme","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/README.md","53","2","Drafts Directory","workbundle_readme","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/README.md","85","2","Compacted Context","workbundle_readme","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_charts_01.md","28","1","Workbook: Visual Chart Drafts","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_charts_01.md","30","2","Cold-Start Execution Contract","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_charts_01.md","50","2","Pre-Execution Readiness Gate","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_charts_01.md","61","2","Placement Decision Record","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_charts_01.md","73","2","Ordered Execution Queue","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_charts_01.md","99","2","Scope and Authority","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_charts_01.md","107","2","Target Files","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_charts_01.md","126","2","Placement Recommendations (fill during Task 11)","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_charts_01.md","143","2","Validation Commands","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_charts_01.md","152","2","Verification Checklist","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_charts_01.md","164","2","Selfcheck Results","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_charts_01.md","176","2","Crosscheck Stop Marker","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_charts_01.md","184","2","Requestor Review Gate","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_root_docs_01.md","30","1","Workbook: Root Document Audit and Refactor","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_root_docs_01.md","32","2","Cold-Start Execution Contract","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_root_docs_01.md","45","2","Pre-Execution Readiness Gate","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_root_docs_01.md","56","2","Placement Decision Record","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_root_docs_01.md","68","2","Dependency Impact Contract","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_root_docs_01.md","76","2","Ordered Execution Queue","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_root_docs_01.md","78","3","Phase 1: Audit (Agent — read-only)","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_root_docs_01.md","93","3","Phase 2: Draft (Agent)","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_root_docs_01.md","107","3","Phase 3: Apply (Agent + Operator approval)","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_root_docs_01.md","113","3","Phase 4: Validation","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_root_docs_01.md","120","2","Scope and Authority","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_root_docs_01.md","128","2","Target Files","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_root_docs_01.md","139","2","Deferred Items","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_root_docs_01.md","149","2","Validation Commands","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_root_docs_01.md","160","2","Verification Checklist","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_root_docs_01.md","173","2","Selfcheck Results","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
"90_Sandbox/ai_workbooks/wp_oss_doc_visual_01_2026-03-02/wb_root_docs_01.md","189","2","Crosscheck Stop Marker","workbook","keep","Section matches file role.","keep","Section order is acceptable.","none","none","not_applicable","none","0","none","not_applicable"
